car_id,region,price,year,manufacturer,model,cylinder,fuel,odometer,transmission,drive,types,core_rating,supporting_rating,interior_rating,exterior_rating,wear_rating
24945792,Bangalore,501000,2018,Honda,Jazz,4,petrol,97426,automatic,FWD,hatchback,9.1,9.3,8.5,8.4,7.7
26254408,Bangalore,285000,2013,Maruti Suzuki,Wagon R,3,petrol,75601,manual,FWD,hatchback,9.3,9.2,8.5,7.6,8.3
26711307,Bangalore,358000,2015,Honda,Brio,4,petrol,93508,manual,FWD,hatchback,9.5,9.3,8.4,7.6,8.2
26944397,Bangalore,716000,2020,Honda,Jazz,4,petrol,16788,automatic,FWD,hatchback,9.9,9.8,9.2,8.5,9
26674150,Bangalore,508000,2014,Honda,Mobilio,4,petrol,41131,manual,FWD,muv,9.8,9.6,9.2,8.2,7.9
26505421,Bangalore,381000,2017,Ford,Figo,4,petrol,72394,manual,FWD,hatchback,9.3,9.4,8.5,8.4,8.4
25262661,Bangalore,611000,2021,Hyundai,Aura,4,petrol,24497,automatic,FWD,sedan,9.8,9.7,9.3,9.2,7.6
27002749,Bangalore,658000,2020,Maruti Suzuki,Swift,4,petrol,55827,manual,FWD,hatchback,9.8,9.6,8.8,8.3,8.3
26645778,Bangalore,397000,2013,Volkswagen,Polo,3,petrol,55489,manual,FWD,hatchback,9.8,9.1,8.4,7.9,7.8
27143767,Bangalore,677000,2020,Hyundai,Elite i20,4,petrol,43005,manual,FWD,hatchback,9.8,9.7,9.2,9,8.7
25829108,Bangalore,592000,2023,Maruti Suzuki,Wagon R,4,petrol,6929,manual,FWD,hatchback,10,9.9,9.9,9.5,9.5
26363374,Bangalore,849000,2024,Hyundai,Exter,4,petrol,8766,automatic,FWD,suv,9.9,9.9,9.5,9.7,9.3
27003956,Bangalore,600000,2022,Maruti Suzuki,Swift,4,petrol,63408,automatic,FWD,hatchback,9.8,9.6,9.1,9,8.4
25819596,Bangalore,591000,2018,Hyundai,Elite i20,4,petrol,93601,manual,FWD,hatchback,9.4,9.4,8.7,8.4,9.1
26123172,Bangalore,221000,2012,Ford,Figo,4,diesel,110303,manual,FWD,hatchback,9.4,9.2,8.3,7.9,8.1
