region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type
bangalore,307000,2016,renault,kwid,fair,3.0,petrol,48882,clean,manual,fwd,hatchback
bangalore,366578,2014,maruti suzuki,celerio,fair,3.0,petrol,64921,clean,automatic,fwd,hatchback
bangalore,645000,2022,renault,kiger,good,3.0,petrol,22676,clean,automatic,fwd,suv
bangalore,371000,2015,maruti suzuki,wagon r,good,3.0,petrol,18049,clean,manual,fwd,hatchback
bangalore,383000,2016,maruti suzuki,wagon r,fair,3.0,petrol,51647,clean,manual,fwd,hatchback
bangalore,242000,2012,maruti suzuki,alto,fair,3.0,petrol,31814,clean,manual,fwd,hatchback
bangalore,589000,2017,hyundai,verna,salvage,4.0,petrol,105556,clean,manual,fwd,sedan
bangalore,283000,2013,hyundai,i10,salvage,4.0,petrol,82007,clean,manual,fwd,hatchback
bangalore,1394668,2021,kia,seltos,salvage,4.0,diesel,74563,clean,automatic,fwd,suv
bangalore,225000,2013,maruti suzuki,alto,fair,3.0,petrol,46863,clean,manual,fwd,hatchback
bangalore,382000,2016,ford,figo,salvage,4.0,petrol,84312,clean,manual,fwd,hatchback
bangalore,282000,2013,maruti suzuki,a-star,fair,3.0,petrol,47813,clean,automatic,fwd,hatchback
bangalore,805000,2016,hyundai,creta,salvage,4.0,petrol,81193,clean,automatic,fwd,suv
bangalore,662000,2022,renault,triber,good,3.0,petrol,17100,clean,manual,fwd,muv
bangalore,215000,2011,maruti suzuki,wagon r,salvage,3.0,petrol,79831,clean,manual,fwd,hatchback
bangalore,1190693,2021,mg motors,hector plus,fair,4.0,petrol,49347,clean,manual,fwd,suv
bangalore,2979358,2017,mercedes-benz,glc,fair,4.0,diesel,44481,clean,automatic,awd,wagon
bangalore,376000,2015,maruti suzuki,celerio,fair,3.0,petrol,64247,clean,automatic,fwd,hatchback
bangalore,376000,2014,hyundai,xcent,salvage,4.0,petrol,80589,clean,manual,fwd,sedan
bangalore,395000,2014,hyundai,verna,salvage,4.0,petrol,92598,clean,manual,fwd,sedan
bangalore,1186000,2023,maruti suzuki,xl6,good,4.0,petrol,22388,clean,manual,fwd,muv
bangalore,1375523,2020,kia,seltos,fair,4.0,diesel,48596,clean,automatic,fwd,suv
bangalore,559000,2018,honda,amaze,fair,4.0,petrol,37542,clean,automatic,fwd,sedan
bangalore,464000,2023,renault,kwid,good,3.0,petrol,29139,clean,manual,fwd,hatchback
bangalore,349000,2014,hyundai,i10,fair,4.0,petrol,43089,clean,manual,fwd,hatchback
bangalore,274000,2014,maruti suzuki,alto,fair,3.0,petrol,46894,clean,manual,fwd,hatchback
bangalore,226000,2011,hyundai,i10,fair,4.0,petrol,43858,clean,manual,fwd,hatchback
bangalore,292000,2016,maruti suzuki,alto k10,salvage,3.0,petrol,75146,clean,manual,fwd,hatchback
bangalore,479000,2018,tata,tigor,salvage,3.0,petrol,91378,clean,automatic,fwd,sedan
bangalore,357000,2013,honda,amaze,salvage,4.0,petrol,117375,clean,manual,fwd,sedan
bangalore,944000,2024,tata,altroz,fair,4.0,diesel,49077,clean,manual,fwd,hatchback
bangalore,447000,2017,honda,jazz,salvage,4.0,petrol,110412,clean,manual,fwd,hatchback
bangalore,404000,2017,maruti suzuki,wagon r,fair,3.0,petrol,52315,clean,manual,fwd,hatchback
bangalore,275000,2014,hyundai,eon,fair,3.0,petrol,41401,clean,manual,fwd,hatchback
bangalore,222000,2013,maruti suzuki,alto,fair,3.0,petrol,57810,clean,manual,fwd,hatchback
bangalore,525000,2021,maruti suzuki,wagon r,fair,4.0,petrol,43179,clean,automatic,fwd,hatchback
bangalore,1160348,2022,kia,sonet,salvage,4.0,diesel,79077,clean,automatic,fwd,suv
bangalore,314000,2018,renault,kwid,salvage,3.0,petrol,70858,clean,manual,fwd,hatchback
bangalore,573000,2017,maruti suzuki,ciaz,salvage,4.0,petrol,102177,clean,manual,fwd,sedan
bangalore,286000,2011,hyundai,i20,salvage,4.0,petrol,72780,clean,manual,fwd,hatchback
bangalore,289000,2011,maruti suzuki,wagon r,fair,3.0,cng,69081,clean,manual,fwd,hatchback
bangalore,345000,2017,renault,kwid,fair,3.0,petrol,30374,clean,manual,fwd,hatchback
bangalore,537000,2018,volkswagen,ameo,salvage,3.0,petrol,95963,clean,manual,fwd,sedan
bangalore,395000,2015,hyundai,xcent,salvage,4.0,petrol,122747,clean,automatic,fwd,sedan
bangalore,428000,2016,hyundai,grand i10,salvage,3.0,diesel,73658,clean,manual,fwd,hatchback
bangalore,1011032,2020,kia,sonet,fair,4.0,diesel,54328,clean,automatic,fwd,suv
bangalore,1148000,2021,kia,seltos,fair,4.0,petrol,44860,clean,manual,fwd,suv
bangalore,699000,2022,tata,tigor,fair,3.0,cng,32535,clean,manual,fwd,sedan
bangalore,284000,2012,hyundai,i10,fair,4.0,petrol,51449,clean,manual,fwd,hatchback
bangalore,1185643,2019,mg motors,hector,fair,4.0,petrol,56121,clean,automatic,fwd,suv
bangalore,916000,2017,hyundai,creta,salvage,4.0,petrol,70711,clean,automatic,fwd,suv
bangalore,366000,2022,maruti suzuki,alto,fair,3.0,petrol,42797,clean,manual,fwd,hatchback
bangalore,448000,2018,maruti suzuki,celerio,fair,3.0,petrol,33518,clean,automatic,fwd,hatchback
bangalore,805000,2022,tata,altroz,fair,4.0,diesel,33385,clean,manual,fwd,hatchback
bangalore,1198773,2023,hyundai,verna,good,4.0,petrol,16624,clean,manual,fwd,sedan
bangalore,460000,2015,volkswagen,polo,salvage,3.0,petrol,124416,clean,manual,fwd,hatchback
bangalore,265000,2013,hyundai,i10,fair,4.0,petrol,62086,clean,manual,fwd,hatchback
bangalore,272000,2013,ford,figo,salvage,4.0,petrol,82978,clean,manual,fwd,hatchback
bangalore,355000,2017,maruti suzuki,celerio,salvage,3.0,petrol,71773,clean,manual,fwd,hatchback
